score_a,score_b,spearman_corr,p_value
visit,visit,1.0,0.0
visit,conversion,0.6524040176511308,0.0
visit,spend,0.09412724302605104,1.3771812755967632e-26
conversion,visit,0.6524040176511308,0.0
conversion,conversion,1.0,0.0
conversion,spend,0.1314734056356228,1.866408127555946e-50
spend,visit,0.09412724302605105,1.3771812755967434e-26
spend,conversion,0.1314734056356228,1.866408127555946e-50
spend,spend,0.9999999999999999,0.0
