outcome,qini_auc,uplift_auc,uplift_at_30pct,incremental_mean_top_30pct
visit,0.06152886355739588,0.03647800872813191,0.10240766073871409,0.0929562628038435
conversion,0.021597298378306495,0.001120226048108366,0.0039012384468358075,0.006417924300579844
spend,,,,0.8877711089550255
