policy,budget,outcome,no_email_rate,mens_rate,womens_rate,contact_rate,budget_feasible,incremental_value,ci_low,ci_high
all_mens,0.05,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.1,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.1,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.1,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.15,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.15,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.15,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.2,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.2,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.2,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.25,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.25,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.25,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.3,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.3,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.3,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.35,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.35,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.35,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.4,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.4,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.4,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.45,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.45,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
