policy,budget,outcome,contact_rate,contacts,budget_feasible,incremental_value,ci_low,ci_high,delta_vs_propensity,delta_ci_low,delta_ci_high
propensity,0.5,spend,0.5,6400,True,0.40803398437500005,0.03386334960937509,0.7779129785156252,0.0,0.0,0.0
propensity,0.55,visit,0.55,7040,True,0.038789062500000006,0.02612988281250002,0.049464843750000015,0.0,0.0,0.0
propensity,0.55,spend,0.55,7040,True,0.22747734375000014,-0.23378244140624987,0.6809216015625003,0.0,0.0,0.0
propensity,0.6,visit,0.6,7680,True,0.0406640625,0.028122070312500018,0.050393554687500015,0.0,0.0,0.0
propensity,0.6,spend,0.6,7680,True,0.25924453125000013,-0.20066657226562476,0.7148153027343751,0.0,0.0,0.0
propensity,0.65,visit,0.65,8320,True,0.04417968750000001,0.031725585937500016,0.05474414062500002,0.0,0.0,0.0
propensity,0.65,spend,0.65,8320,True,0.2557300781250001,-0.2007544335937499,0.7053100195312502,0.0,0.0,0.0
propensity,0.7,visit,0.7,8960,True,0.048867187500000006,0.03527050781250002,0.06013183593750002,0.0,0.0,0.0
propensity,0.7,spend,0.7,8960,True,0.3451382812500002,-0.12682221679687491,0.8139118066406252,0.0,0.0,0.0
propensity,0.75,visit,0.75,9600,True,0.050390625,0.036896484375000024,0.06188671875000002,0.0,0.0,0.0
propensity,0.75,spend,0.75,9600,True,0.38258789062500015,-0.10576283203124978,0.8443307519531252,0.0,0.0,0.0
propensity,0.8,visit,0.8,10240,True,0.0521484375,0.03737988281250003,0.06295019531250001,0.0,0.0,0.0
propensity,0.8,spend,0.8,10240,True,0.45016054687500007,-0.07148264648437481,0.9721505859375003,0.0,0.0,0.0
propensity,0.85,visit,0.85,10880,True,0.05437500000000001,0.03995214843750004,0.06563671875000003,0.0,0.0,0.0
propensity,0.85,spend,0.85,10880,True,0.47734921875,-0.037234365234374844,1.011347783203125,0.0,0.0,0.0
propensity,0.9,visit,0.9,11520,True,0.05578125000000001,0.042729492187500044,0.06750878906250003,0.0,0.0,0.0
propensity,0.9,spend,0.9,11520,True,0.5019070312500001,-0.03714650390624984,1.0495696875,0.0,0.0,0.0
propensity,0.95,visit,0.95,12160,True,0.058007812500000006,0.044607421875000046,0.06949218750000002,0.0,0.0,0.0
propensity,0.95,spend,0.95,12160,True,0.5710382812500002,0.07283809570312538,1.1737404199218753,0.0,0.0,0.0
propensity,1.0,visit,1.0,12800,True,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.0,0.0,0.0
propensity,1.0,spend,1.0,12800,True,0.6710414062500001,0.20026045898437533,1.234722099609375,0.0,0.0,0.0
uplift_tree,0.05,visit,0.05,640,True,0.00515625,0.002695312500000001,0.007620117187500001,0.001992187499999999,-0.0028183593750000014,0.006934570312500003
uplift_tree,0.05,spend,0.05,640,True,-0.023407031249999998,-0.10660312499999999,0.028950937500000003,-0.07893046875000001,-0.21905876953124997,0.027545156249999994
uplift_tree,0.1,visit,0.1,1280,True,0.0071484375,0.003512695312500002,0.010904296875000002,-0.002226562500000001,-0.008695312500000002,0.004218749999999996
uplift_tree,0.1,spend,0.1,1280,True,-0.030505078124999994,-0.13895923828125,0.027918398437500005,-0.07623281250000002,-0.268672353515625,0.08669721679687509
uplift_tree,0.15,visit,0.15,1920,True,0.0113671875,0.007494140625000002,0.015708984375000002,-0.003515625000000003,-0.010787109375000003,0.005041992187499995
uplift_tree,0.15,spend,0.15,1920,True,0.06357421875000002,-0.086808427734375,0.21166464843750005,-0.00278671875,-0.238662451171875,0.1810579394531251
uplift_tree,0.2,visit,0.2,2560,True,0.0140625,0.009137695312500003,0.019687500000000004,-0.00609375,-0.015483398437500004,0.0030585937499999984
uplift_tree,0.2,spend,0.2,2560,True,0.07422539062500003,-0.08329397460937499,0.22589504882812508,-0.002035546875000002,-0.24556306640625006,0.20656253906249994
uplift_tree,0.25,visit,0.25,3200,True,0.016640625,0.010898437500000007,0.022505859375000006,-0.004335937500000001,-0.01359375,0.006134765625000004
uplift_tree,0.25,spend,0.25,3200,True,0.07629726562500001,-0.09371329101562496,0.24295749023437502,-0.07192968750000002,-0.33475611328125,0.17983385742187502
